Site,Locale,CMP,Cmp_Translation,Language_Iso_Code,Language_Name
www.CLIENT_X.com.bh/ar,ar_BH,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.com.br,pt_BR,www.CLIENT_X.com.br,pt,pt,Portuguese
www.CLIENT_X.com.cn,zh_CN,www.CLIENT_X.com.cn,zh-CN,zh-CN,Chinese(Simplified)
www.CLIENT_X.com.co,es_CO,www.CLIENT_X.com.co,es_MX,es,Spanish
www.CLIENT_X.com.eg,en_EG,www.CLIENT_X.com.eg,en_GB,en,English
www.CLIENT_X.com.eg/ar,ar_EG,www.CLIENT_X.com.eg,ar_EG,ar,Arabic
www.CLIENT_X.com.ge,ka_GE,CLIENT_X.com,ka,ka,Georgian
www.CLIENT_X.com.gh,en_GH,www.CLIENT_X.com.gh,en_GB,en,English
www.CLIENT_X.com.hk,zh_HK,www.CLIENT_X.com.hk,zh-TW,zh-TW,Chinese(Traditional)
www.CLIENT_X.com.hk/en,en_HK,www.CLIENT_X.com.hk,en_GB,en,English
www.CLIENT_X.com.kw,en_KW,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.com.kw/ar,ar_KW,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.com.lb,ar_LB,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.com.lb/en,en_LB,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.com.mx,es_MX,www.CLIENT_X.com.mx,es_MX,es,Spanish
www.CLIENT_X.com.my,en_MY,www.CLIENT_X.com.my,en_GB,en,English
www.CLIENT_X.com.om,en_OM,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.com.om/ar,ar_OM,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.com.pe,es_PE,www.CLIENT_X.com.pe,es_MX,es,Spanish
www.CLIENT_X.com.ph,en_PH,www.CLIENT_X.com.ph,en_GB,en,English
www.CLIENT_X.com.pk,en_PK,www.CLIENT_X.com.pk,en_GB,en,English
www.CLIENT_X.com.qa,en_QA,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.com.qa/ar,ar_QA,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.com.sg,en_SG,www.CLIENT_X.com.sg,en_GB,en,English
www.CLIENT_X.com.tr,tr_TR,www.CLIENT_X.com.tr,tr_TR,tr,Turkish
www.CLIENT_X.com.tw,zh_TW,www.CLIENT_X.com.tw,zh-TW,zh-TW,Chinese(Traditional)
www.CLIENT_X.com.uy,es_UY,www.CLIENT_X.com.uy,es_MX,es,Spanish
www.CLIENT_X.com.vn,vi_VN,www.CLIENT_X.com.vn,vi,vi,Vietnamese
www.CLIENT_X.cz,cs_CZ,CLIENT_X.cz,cs,cs,Czech
www.CLIENT_X.de,de_DE,CLIENT_X.de,de,de,German
www.CLIENT_X.dk,da_DK,CLIENT_X.dk,da,da,Danish
www.CLIENT_X.ee,et_EE,CLIENT_X.ee,et,et,Estonian
www.CLIENT_X.es,es_ES,CLIENT_X.es,es,es,Spanish
www.CLIENT_X.fi,fi_FI,CLIENT_X.fi,fi,fi,Finnish
www.CLIENT_X.fr,fr_FR,CLIENT_X_fr_consumer.com,fr,fr,French
www.CLIENT_X.gr,el_GR,CLIENT_X.gr,el,el,Greek
www.CLIENT_X.hr,hr_HR,CLIENT_X.hr,hr,hr,Croatian
www.CLIENT_X.hu,hu_HU,CLIENT_X.hu,hu,hu,Hungarian
www.CLIENT_X.ie,en_IE,CLIENT_X.ie,en_GB,en,English
www.CLIENT_X.iq,ar_IQ,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.iq/en,en_IQ,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.it,it_IT,CLIENT_X.it,it,it,Italian
www.CLIENT_X.jo,ar_JO,CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.jo/en,en_JO,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.kz,ru_KZ,CLIENT_X.com,ru_RU,ru,Russian
www.CLIENT_X.lt,lt_LT,CLIENT_X.lt,lt,lt,Lithuanian
www.CLIENT_X.lv,lv_LV,CLIENT_X.lv,lv,lv,Latvian
www.CLIENT_X.ma,fr_MA,www.CLIENT_X.ma,fr_FR,fr,French
www.CLIENT_X.ng,en_NG,www.CLIENT_X.ng,en_GB,en,English
www.CLIENT_X.nl,nl_NL,CLIENT_X.nl,nl,nl,Dutch
www.CLIENT_X.no,no_NO,CLIENT_X.no,no,no,Norwegian
www.CLIENT_X.pl,pl_PL,CLIENT_X.pl,pl,pl,Polish
www.CLIENT_X.pt,pt_PT,CLIENT_X.pt,pt,pt,Portuguese
www.CLIENT_X.ro,ro_RO,CLIENT_X.ro,ro,ro,Romanian
www.CLIENT_X.rs,sr_RS,CLIENT_X.rs,sr,sr,Serbian
www.CLIENT_X.ru,ru_RU,www.CLIENT_X.ru,ru,ru,Russian
www.CLIENT_X.sa,ar_SA,CLIENT_X.com,ar_SA,ar,Arabic
www.CLIENT_X.sa/en,en_SA,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.se,sv_SE,CLIENT_X.se,sv,sv,Swedish
www.CLIENT_X.si,sl_SI,CLIENT_X.si,sl,sl,Slovenian
www.CLIENT_X.sk,sk_SK,CLIENT_X.sk,sk,sk,Slovak
www.CLIENT_X.ua,uk_UA,www.CLIENT_X.ua,uk,uk,Ukrainian
www.CLIENT_X.ua/en,en_UA,www.CLIENT_X.ua,en_GB,en,English
www.CLIENT_X.ua/ru,ru_UA,www.CLIENT_X.ua,ru,ru,Russian
www.CLIENT_X.uz,ru_UZ,CLIENT_X.com,ru,ru,Russian
www.usa.CLIENT_X.com,en_US,www.usa.CLIENT_X.com,en_GB,en,English
