tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
CLIENT_Xb2c.my.salesforce-scrt.com,Performance cookies,"Salesforce.com, Inc.",Beacon,,,,,https://www.CLIENT_X.hu/c-w/support-home/support-contact-page,New Third Party Trackers,"Salesforce.com, Inc. is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.",,,,
scripts.clarity.ms,Performance cookies,Microsoft,JavaScript,,,,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New Third Party Trackers,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.",,,,
scripts.clarity.ms,Performance cookies,Microsoft,ETag,,,,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New Third Party Trackers,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.",,,,
tools.eurolandir.com,Performance cookies,Euroland,JavaScript,,,,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New Third Party Trackers,"Euroland combines solutions with financial technology and industry expertise, creating software solutions that enables IR websites and support their clients to digitally tell their equity story and engage investors.",,,,
tools.eurolandir.com,Performance cookies,Euroland,ETag,,,,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New Third Party Trackers,"Euroland combines solutions with financial technology and industry expertise, creating software solutions that enables IR websites and support their clients to digitally tell their equity story and engage investors.",,,,
www.clarity.ms,Performance cookies,Microsoft,JavaScript,,,,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New Third Party Trackers,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.",,,,
adform.net,Targeted Advertising cookies (including social media),Adform A/S,HTTP Cookie,C,,31,,https://www.CLIENT_X.hu/shop/cart,New Third Party Trackers,"Adform A/S is a  independent and open full stack ad-tech platform that encompasses creativity, data and trading, servicing media agencies, trading desks, brands and publishers.",,,,
adform.net,Targeted Advertising cookies (including social media),Adform A/S,HTTP Cookie,uid,,60,,https://www.CLIENT_X.hu/shop/cart,New Third Party Trackers,"Adform A/S is a  independent and open full stack ad-tech platform that encompasses creativity, data and trading, servicing media agencies, trading desks, brands and publishers.",,,,
analytics-ipv6.tiktokw.us,Targeted Advertising cookies (including social media),TikTok,Beacon,,,,,http://www.CLIENT_X.hu/,New Third Party Trackers,"TikTok is a video-sharing social networking service owned by ByteDance, a Beijing-based company founded in 2012 by Zhang Yiming. It is used to create short lip-sync, comedy, and talent videos.",,,,
tag-logger.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",ETag,,,,,https://www.CLIENT_X.hu/healthcare/product/HC728242,New Third Party Trackers,Demandbase is passionately dedicated to helping B2B marketers achieve greater business impact.,,,,
track.adform.net,Targeted Advertising cookies (including social media),Adform A/S,Beacon,,,,,https://www.CLIENT_X.hu/shop/cart,New Third Party Trackers,"Adform A/S is a  independent and open full stack ad-tech platform that encompasses creativity, data and trading, servicing media agencies, trading desks, brands and publishers.",,,,
www.author.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,HTTP Cookie,AWSALBCORS,,7,,https://www.CLIENT_X.hu/c-m-pe/feel-the-care,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.documents.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,,,,,https://www.CLIENT_X.hu/healthcare/video/smartspeed-precise-elevates-imaging-at-hamamatsu-university-hospital,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.documents.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,HTTP Cookie,__cf_bm,,0,,https://www.CLIENT_X.hu/healthcare/video/smartspeed-precise-elevates-imaging-at-hamamatsu-university-hospital,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.eu-west-1.api.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,Beacon,,,,,https://www.CLIENT_X.hu/c-e/shop/checkout,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,__Secure-YNID,,180,,https://www.CLIENT_X.hu/c-e/pe/sonicare/sonicare-velemenyek,New Third Party Trackers,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.Business Data Responsibility",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,cf_clearance,,365,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_fid,,400,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,ttcsid,,90,,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,__cf_bm,,0,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,AWSALB,,7,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,AWSALBCORS,,7,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,coveoAccessToken,,1,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,coveoLocale,,1,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,HU_Pub-cartstatus,,14,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,isStoreEnabled,,session,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,lux_uid,,0,,http://www.CLIENT_X.hu/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
cdn-scripts.signifyd.com,Essential cookies,Signifyd,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,http://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
cdn-scripts.signifyd.com,Essential cookies,Signifyd,ETag,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,http://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,Local Storage,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/shop/sitemap,Existing CM Trackers-Found,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/shop/sitemap,Existing CM Trackers-Found,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent-st.trustarc.com,Essential cookies,TrustArc,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/shop/sitemap,Existing CM Trackers-Found,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent.trustarc.com,Essential cookies,TrustArc,Beacon,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,http://www.CLIENT_X.hu/,Existing CM Trackers-Found,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent.trustarc.com,Essential cookies,TrustArc,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,http://www.CLIENT_X.hu/,Existing CM Trackers-Found,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
eloqua.com,Essential cookies,Oracle Marketing,HTTP Cookie,ELQSTATUS,An Eloqua cookie used for tracking purposes.,396,TRUE,https://www.CLIENT_X.hu/healthcare/webinar/unlocking-the-value-of-big-data,Existing CM Trackers-Found,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.",,,,
images.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/c-p/43PUS8505_12/8500-series-4k-uhd-led-android-tv-3-oldalas-ambilight-rendszerrel,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
images.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,ETag,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/c-p/BHB887_00/8000-es-sorozatu-automatikus-hajsuetoevas-senseiq-technologiaval,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
imgs.signifyd.com,Essential cookies,Signifyd,Local Storage,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
imgs.signifyd.com,Essential cookies,Signifyd,Beacon,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,http://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
imgs.signifyd.com,Essential cookies,Signifyd,JavaScript,,Javascript is used to download functionality from the vendor on the browser.,,TRUE,https://www.CLIENT_X.hu/shop/termsAndConditions,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
imgs.signifyd.com,Essential cookies,Signifyd,HTTP Cookie,thx_guid,The cookie sets the Secure flag to prevent leaking if one of the pages loads mixed content.,390,TRUE,https://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
imgs.signifyd.com,Essential cookies,Signifyd,HTTP Cookie,tmx_guid,Signifyd uses cookie to provide fraud detection and prevention.,390,TRUE,https://www.CLIENT_X.hu/,Existing CM Trackers-Found,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,Local Storage,,"Local storage in a browser is a storage that allows websites to store key-value data persistently on a user's device with no expiration. It is mainly used to save user preferences, session data, or lightweight application state without requiring server communication.",,TRUE,https://www.CLIENT_X.hu/c-w/support-home/support-contact-page,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_fbp,Used to distinguish and keep track of your unique users.,90,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_ga,Used to distinguish users.,399,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_gcl_au,To store and track conversions.,90,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_schn1,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers.",0,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_scid,"This cookie is used by
SnapChat to anonymously
identify a visitor across
multipless domains for
advertising purposes and to
track conversions",396,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,_scid_r,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers.",396,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,cjConsent,Tracks consent status for CJ (Commission Junction) cookies.,395,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,coveo_visitorId,This tag is used to track and identify individual visitors or users interacting with a website or application that has integrated Coveo's search capabilities.,365,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,FPAU,,90,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,FPID,"This HTTP cookie is named FPID
 (First Party Identifier) and stores
 a value used for setting the Client
 ID in the request to Google",400,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,FPLC,"The FPID cookie is used
 for in server-side
 tagging for Google Tag
 Manager",0,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,internalUserCheck,"verify user identity, enforce access control, maintain security",session,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_cc,Used to check if the user's browser supports cookies.,session,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_cm,"track website and app performance, user behavior, and marketing effectiveness",session,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_cm_direct,most common use is Direct Traffic Tracking,0,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_eVar44,to collect and analyze custom data points beyond the standard metrics provided by Adobe Analytics,400,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_gnr,User to see how many visitors are returning.,60,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_nrpv,for tracking page views on a website or application,session,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
CLIENT_X.hu,Essential cookies,CLIENT_X - Hungary,HTTP Cookie,s_pv,This cookie records the user's navigation sequence on the website.,0,TRUE,https://www.CLIENT_X.hu/a-w/about-CLIENT_X/befektetoi-kapcsolatok.html,Existing CM Trackers-Found,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
